Solvent,Hot-Casting Temperature,Reference Location,_source_doc,Hot-Casting Duration,Remarks,Co-solvent Ratio
DMF/DMSO,"25 °C, 70 °C",Page 7 of 22,s40820-020-00494-2,1-48 h,Process parameters to be supplemented,"3:1, 1:3"
DMF,Not specified,Page 8 of 22,s40820-020-00494-2,Not specified,Process parameters to be supplemented,Not specified ratio
GBL and DMF co-solvents,Not specified,Page 8 of 22,s40820-020-00494-2,Not specified,Process parameters to be supplemented,Not specified ratio
DMSO,Not specified,Page 8 of 22,s40820-020-00494-2,Not specified,Process parameters to be supplemented,Not specified ratio
methylamine (MA) gas,Not specified,Page 8 of 22,s40820-020-00494-2,Not specified,Process parameters to be supplemented,Not specified ratio
methylammonium acetate (MAAc),100 °C,Page 8 of 22,s40820-020-00494-2,Not specified,Process parameters to be supplemented,Not specified ratio
Not specified,80 °C,Page 9 of 22,s40820-020-00494-2,2 h,Process parameters to be supplemented including solvent type and co-solvent ratio,Not specified
DMF:DMSO,Not specified,Page 10 of 22,s40820-020-00494-2,Not specified,Process parameters to be supplemented,Not specified ratio
DMF,,Page 11 of 22,s40820-020-00494-2,,Process parameters to be supplemented,
3:1 DMF: DMSO mixed solvent,,Page 11 of 22,s40820-020-00494-2,,Process parameters to be supplemented,3:1
Not mentioned,120 °C,Page 12 of 22,s40820-020-00494-2,Not mentioned,Process parameters to be supplemented including solvent and Hot-Casting duration,Not mentioned
Not mentioned,Not mentioned,Page 15 of 22,s40820-020-00494-2,Not mentioned,Specific solvent, co-solvent ratio, Hot-Casting temperature, and duration not provided in the literature,Not mentioned
DMSO:GBL,25 °C,Page 16 of 22,s40820-020-00494-2,Not specified,DMSO:GBL-blade-25 °C film,Not specified ratio
DMSO:GBL,150 °C,Page 16 of 22,s40820-020-00494-2,Not specified,DMSO:GBL-blade-150 °C film,Not specified ratio
MAPbI3-xClx powder solution,120 °C,Page 17 of 22,s40820-020-00494-2,,Process parameters to be supplemented,
